Date,Longitude,Latitude,Depth,Magnitude
08/01/2024 13:19:12,38.7525,38.2842,8.97,4.4
07/01/2024 15:58:00,37.2725,38.3222,6.99,3.9
06/01/2024 12:10:09,38.5897,38.1694,8.76,4
05/01/2024 14:03:03,37.4519,38.3753,6.99,3.6
30/12/2023 13:26:24,39.0192,38.4564,9.36,4.2
30/12/2023 02:05:13,36.3053,36.4258,8.94,3.9
28/12/2023 09:34:05,38.1217,38.2664,17.3,4.6
27/12/2023 07:55:12,37.67,38.0411,9.69,4.3
26/12/2023 01:43:01,36.7725,38.0208,7.01,3.5
25/12/2023 13:37:50,36.4567,37.9186,11.46,3.5
24/12/2023 05:52:23,37.4731,38,5.83,3.5
21/12/2023 18:24:33,36.1531,36.3308,9.19,4.1
19/12/2023 20:22:52,36.3189,37.8244,7,3.6
18/12/2023 06:07:25,38.2792,38.2442,7,3.6
14/12/2023 22:32:58,35.9806,36.2464,3.31,3.8
13/12/2023 00:36:09,36.6936,37.1133,7.45,3.9
04/12/2023 11:20:03,37.1619,38.3131,7,3.5
01/12/2023 00:18:49,37.61,38.3703,7,4.8
28/11/2023 01:32:35,37.0189,38.4383,6.99,3.8
26/11/2023 13:13:28,38.1764,38.1772,7.55,3.5
23/11/2023 15:54:58,38.541,38.128,6.99,3.5
23/11/2023 14:49:57,38.571,38.152,6.48,4.7
23/11/2023 14:46:08,38.569,38.158,7,5.2
20/11/2023 07:36:04,38.777,38.237,7,4.5
20/11/2023 00:55:04,36.618,37.923,7.02,3.6
18/11/2023 16:55:57,37.001,37.274,6.99,3.5
15/11/2023 22:58:45,38.159,38.29,10.88,3.5
15/11/2023 22:32:10,38.539,38.188,11.5,4
15/11/2023 14:56:05,36.769,37.386,7.54,3.8
15/11/2023 02:14:27,38.317,38.311,7.53,3.7
09/11/2023 02:32:14,36.371,36.622,8.28,4.8
30/10/2023 16:25:47,36.404,37.995,7.07,4.2
29/10/2023 19:08:29,36.544,38.073,7.34,3.6
26/10/2023 08:32:12,36.345,36.326,7.86,3.6
24/10/2023 00:39:33,38.685,38.202,7.5,4.3
